AdaDate, AdaOpen , AdaHigh , AdaLow , AdaClose ,AgcDate, AgcOpen , AgcHigh , AgcLow , AgcClose ,AlkDate, AlkOpen , AlkHigh , AlkLow , AlkClose ,GmmDate, GmmOpen , GmmHigh , GmmLow , GmmClose ,IolDate, IolOpen , IolHigh , IolLow , IolClose 
22-05-2019, 44.20 , 44.25 , 42.45 , 43.95 ,22-05-2019, 101.75 , 101.95 , 99.95 , 101.45 ,22-05-2019, 795.00 , 801.00 , 770.00 , 786.67 ,22-05-2019," 1,150.00 "," 1,226.00 "," 1,150.00 "," 1,214.00 ",22-05-2019, 182.95 , 182.95 , 178.05 , 179.90 
23-05-2019, 46.00 , 47.40 , 43.05 , 43.40 ,23-05-2019, 101.90 , 103.85 , 98.05 , 98.80 ,23-05-2019, 801.00 , 822.10 , 780.30 , 777.13 ,23-05-2019," 1,219.00 "," 1,249.90 "," 1,212.25 "," 1,230.43 ",23-05-2019, 184.00 , 191.85 , 181.50 , 185.60 
24-05-2019, 44.00 , 44.30 , 41.50 , 42.30 ,24-05-2019, 99.00 , 108.60 , 99.00 , 107.25 ,24-05-2019, 802.95 , 805.00 , 789.00 , 781.16 ,24-05-2019," 1,240.00 "," 1,290.05 "," 1,228.00 "," 1,269.47 ",24-05-2019, 187.35 , 209.00 , 187.00 , 207.85 
27-05-2019, 42.55 , 44.00 , 42.30 , 43.15 ,27-05-2019, 116.40 , 117.70 , 110.00 , 115.00 ,27-05-2019, 790.45 , 806.05 , 789.75 , 784.21 ,27-05-2019," 1,275.00 "," 1,306.90 "," 1,255.10 "," 1,293.27 ",27-05-2019, 211.00 , 227.50 , 211.00 , 225.00 
28-05-2019, 43.50 , 46.60 , 43.05 , 45.00 ,28-05-2019, 113.15 , 115.40 , 110.00 , 110.75 ,28-05-2019, 818.95 , 818.95 , 790.60 , 781.95 ,28-05-2019," 1,305.00 "," 1,372.00 "," 1,289.85 "," 1,354.26 ",28-05-2019, 229.00 , 232.65 , 223.10 , 231.30 
29-05-2019, 45.20 , 46.00 , 44.20 , 44.70 ,29-05-2019, 110.55 , 116.55 , 110.00 , 111.95 ,29-05-2019, 792.40 , 810.55 , 790.70 , 787.06 ,29-05-2019," 1,375.90 "," 1,397.00 "," 1,344.70 "," 1,359.64 ",29-05-2019, 232.00 , 233.30 , 221.10 , 227.75 
30-05-2019, 44.90 , 45.20 , 44.25 , 44.60 ,30-05-2019, 112.10 , 122.90 , 110.00 , 112.15 ,30-05-2019, 875.00 , 875.00 , 796.05 , 809.82 ,30-05-2019," 1,365.35 "," 1,393.00 "," 1,340.00 "," 1,357.00 ",30-05-2019, 234.70 , 235.00 , 216.50 , 219.10 
31-05-2019, 44.80 , 45.00 , 41.95 , 43.30 ,31-05-2019, 112.05 , 114.35 , 110.00 , 110.05 ,31-05-2019, 827.10 , 829.95 , 819.55 , 813.26 ,31-05-2019," 1,340.00 "," 1,340.05 "," 1,249.30 "," 1,259.11 ",31-05-2019, 217.90 , 223.90 , 212.10 , 214.15 
03-06-2019, 43.55 , 45.10 , 42.05 , 44.10 ,03-06-2019, 110.05 , 112.45 , 109.00 , 110.00 ,03-06-2019, 820.70 , 874.00 , 819.55 , 847.22 ,03-06-2019," 1,279.90 "," 1,292.00 "," 1,234.90 "," 1,280.82 ",03-06-2019, 213.00 , 216.50 , 209.00 , 213.70 
04-06-2019, 43.90 , 46.15 , 43.60 , 45.20 ,04-06-2019, 110.00 , 116.90 , 110.00 , 114.85 ,04-06-2019, 861.00 , 861.00 , 832.15 , 825.20 ,04-06-2019," 1,290.85 "," 1,290.90 "," 1,228.30 "," 1,245.12 ",04-06-2019, 211.80 , 224.95 , 209.90 , 221.35 
06-06-2019, 45.65 , 45.90 , 44.15 , 44.35 ,06-06-2019, 115.35 , 115.35 , 109.10 , 110.35 ,06-06-2019, 847.65 , 847.65 , 816.00 , 804.51 ,06-06-2019," 1,249.90 "," 1,300.00 "," 1,235.90 "," 1,280.67 ",06-06-2019, 223.45 , 231.00 , 222.00 , 223.55 
07-06-2019, 44.45 , 44.75 , 43.00 , 43.25 ,07-06-2019, 110.00 , 114.00 , 110.00 , 110.50 ,07-06-2019, 859.95 , 859.95 , 818.05 , 805.84 ,07-06-2019," 1,295.90 "," 1,397.00 "," 1,278.10 "," 1,373.53 ",07-06-2019, 225.00 , 226.90 , 211.60 , 215.85 
10-06-2019, 43.95 , 44.10 , 42.80 , 42.90 ,10-06-2019, 110.15 , 114.00 , 110.00 , 110.00 ,10-06-2019, 809.00 , 838.10 , 809.00 , 812.47 ,10-06-2019," 1,390.00 "," 1,449.80 "," 1,362.35 "," 1,432.43 ",10-06-2019, 217.50 , 219.90 , 211.40 , 212.40 
11-06-2019, 42.90 , 43.15 , 42.00 , 42.55 ,11-06-2019, 109.85 , 114.00 , 106.70 , 111.55 ,11-06-2019, 817.05 , 825.95 , 814.95 , 807.46 ,11-06-2019," 1,450.00 "," 1,490.00 "," 1,449.00 "," 1,459.07 ",11-06-2019, 212.00 , 216.50 , 206.20 , 210.15 
12-06-2019, 42.95 , 43.70 , 42.95 , 43.15 ,12-06-2019, 110.05 , 113.00 , 110.00 , 110.05 ,12-06-2019, 821.40 , 825.00 , 810.00 , 806.67 ,12-06-2019," 1,462.15 "," 1,474.00 "," 1,429.50 "," 1,457.33 ",12-06-2019, 211.00 , 215.20 , 207.10 , 208.20 
13-06-2019, 43.30 , 43.70 , 42.10 , 43.40 ,13-06-2019, 110.15 , 111.85 , 110.00 , 110.00 ,13-06-2019, 820.55 , 820.55 , 801.00 , 795.46 ,13-06-2019," 1,453.40 "," 1,456.15 "," 1,428.00 "," 1,443.24 ",13-06-2019, 208.10 , 209.45 , 204.80 , 205.70 
14-06-2019, 43.20 , 44.10 , 42.50 , 42.60 ,14-06-2019, 110.15 , 110.60 , 110.00 , 110.00 ,14-06-2019, 802.00 , 826.05 , 801.95 , 799.20 ,14-06-2019," 1,475.95 "," 1,475.95 "," 1,410.00 "," 1,414.86 ",14-06-2019, 205.70 , 206.75 , 197.50 , 199.55 
17-06-2019, 42.30 , 43.05 , 41.35 , 41.65 ,17-06-2019, 110.20 , 110.90 , 109.75 , 110.05 ,17-06-2019, 812.95 , 824.25 , 805.00 , 795.91 ,17-06-2019," 1,437.95 "," 1,437.95 "," 1,322.20 "," 1,330.81 ",17-06-2019, 199.55 , 199.55 , 183.30 , 184.85 
18-06-2019, 41.65 , 42.30 , 40.30 , 40.80 ,18-06-2019, 110.05 , 110.05 , 104.10 , 107.00 ,18-06-2019, 799.00 , 819.00 , 799.00 , 802.35 ,18-06-2019," 1,320.40 "," 1,375.00 "," 1,320.40 "," 1,357.55 ",18-06-2019, 186.60 , 197.00 , 186.55 , 192.30 
